STN,NAME,ST,LAT,LON
PPIT,  NUNAPITCHUK      ,   AK,  60.90N  ,162.43W
PAAQ,  PALMER            ,  AK,  61.60N  ,149.08W
PAPG,  PETERSBURG        ,  AK,  56.82N  ,132.95W
PAPN,  PILOTPOINT        ,  AK,  57.58N  ,157.57W
PAPM,  PLATINUM          ,  AK,  59.01N  ,161.82W
PAPO,  POINT_HOPE_(AWOS),   AK,  68.35N  ,166.80W
PPIZ,  POINT_LAY(DEW/AWOS,)  AK,  69.73N  ,163.02W
PAAD,  POINT_THOMAS      ,  AK,  70.13N  ,146.28W
PATO,  PORTAGEGLACIER    ,  AK,  60.79N  ,148.83W
PAPH,  PORTHEIDEN(AMOS  ,   AK,  56.95N  ,158.62W
PAQH,  QUINHAGAK        ,   AK,  59.75N  ,161.83W
PARY,  RUBYAIRPORT      ,   AK,  64.73N  ,155.47W
PARS,  RUSSIANMISSION    ,  AK,  61.77N  ,161.32W
PASN,  SAINTPAULISLAND  ,   AK,  57.15N  ,170.22W
PASM,  SAINT_MARY'S_(AWOS,)  AK,  62.07N  ,163.30W
PASD,  SAND_POINT        ,  AK,  55.32N  ,160.52W
PASA,  SAVOONGAARPT      ,  AK,  63.68N  ,170.50W
PACM,  SCAMMONBAY        ,  AK,  61.85N  ,165.57W
PASK,  SELANIK          ,   AK,  66.62N  ,160.00W
PASO,  SELDOVIA          ,  AK,  59.45N  ,151.70W
PAWD,  SEWARD            ,  AK,  60.12N  ,149.45W
PAHX,  SHAGELUK          ,  AK,  62.70N  ,159.56W
PFSH,  SHAKTOOLIK_AWOS  ,   AK,  64.37N  ,161.22W
PASY,  SHEMYAAFB        ,   AK,  52.72N  ,174.10W
PASH,  SHISHMAREF_(AWOS),   AK,  66.27N  ,166.05W
PAGH,  SHUNGNAKARPT      ,  AK,  66.89N  ,157.16W
PASI,  SITKA            ,   AK,  57.07N  ,135.35W
PAGY,  SKAGWAY          ,   AK,  59.45N  ,135.32W
PASL,  SLEETMUTE        ,   AK,  61.72N  ,157.15W
PASX,  SOLDOTNA          ,  AK,  60.48N  ,151.03W
PFWS,  SOUTH_NAKNEK      ,  AK,  58.70N  ,157.00W
PASV,  SPARREVOHNAWOS    ,  AK,  61.10N  ,155.57W
PAPB,  ST_GEORGE_ISLAND_(,AS AK,  56.58N  ,169.67W
PAMK,  ST_MICHAEL        ,  AK,  63.49N  ,162.11W
PATK,  TALKEETNAAIRPORT  ,  AK,  62.30N  ,150.10W
PATA,  TANANA            ,  AK,  65.17N  ,152.10W
PATL,  TATALINAAFSAWOS  ,   AK,  62.90N  ,155.97W
PATE,  TELLER            ,  AK,  65.24N  ,166.34W
PATC,  TINCITYAFSAWOS    ,  AK,  65.57N  ,167.92W
PATG,  TOGIAKVLLGEAWOS  ,   AK,  59.05N  ,160.40W
PAOO,  TOKSOOKBAY        ,  AK,  60.53N  ,165.11W
PAUN,  UNALAKLEET(AUTOB),   AK,  63.88N  ,160.80W
PAVD,  VALDEZSAWRS      ,   AK,  61.13N  ,146.25W
PAWI,  WAINWRIGHT_(ASOS),   AK,  70.64N  ,159.99W
PAFB,  WAINWRIGHT_AAF    ,  AK,  64.83N  ,147.62W
PAIW,  WALES            ,   AK,  65.62N  ,168.09W
PAWS,  WASILLA          ,   AK,  61.57N  ,149.54W
PAWM,  WHITE_MOUNTAIN    ,  AK,  64.68N  ,163.41W
PAWG,  WRANGELL          ,  AK,  56.47N  ,132.38W
PAYA,  YAKUTAT          ,   AK,  59.52N  ,139.67W
